Nail spacing [cm],Number sheathing panels,Number end studs,Total number studs,HoldDown Model / ATS
5,2,2,7,2.8575
5,2,2,7,2.2225
5,2,1,10,1.27
5,2,2,12,3.175
10,1,3,9,13.0
15,1,2,18,1.0
15,1,2,9,2.0
10,1,1,11,1.5875
10,1,1,7,1.27
15,1,2,14,2.0
15,1,2,11,1.0
5,2,3,11,3.81
15,1,1,7,1.27
15,1,3,15,4.0
15,1,3,12,8.0
15,1,3,13,4.0
15,1,2,10,1.0
5,2,3,9,16.0
15,1,1,10,0.9525
5,2,1,5,0.9525
15,1,2,22,2.0
5,1,2,6,6.0
10,1,6,16,24.0
15,1,1,10,0.9525
5,1,2,15,1.5875
10,1,1,9,1.27
15,1,2,11,2.0
15,1,4,11,13.0
10,1,4,10,20.0
15,1,2,6,1.0
15,1,2,6,1.0
15,1,2,6,1.0
15,1,3,16,9.0
15,1,1,6,1.905
15,1,2,7,1.0
15,1,3,9,12.0
5,1,3,12,16.0
5,2,1,9,1.27
15,1,3,11,4.0
15,1,4,12,20.0
15,1,3,12,7.0
10,1,1,8,1.5875
10,1,3,9,8.0
15,1,1,8,0.9525
15,1,1,10,1.27
5,2,2,31,2.8575
5,1,4,10,18.0
10,1,1,14,1.5875
5,2,6,24,25.0
15,1,3,23,4.0
15,1,3,9,7.0
15,1,3,9,4.0
15,1,3,9,4.0
15,1,3,16,4.0
15,1,3,23,4.0
5,2,4,13,13.0
15,1,1,7,0.9525
15,1,2,8,2.0
5,2,4,10,26.0
15,1,1,8,0.9525
15,1,2,6,1.0
15,1,2,11,1.0
15,1,1,11,0.9525
15,1,1,9,0.9525
15,1,2,6,1.0
15,1,3,10,7.0
5,2,1,5,1.27
5,2,4,13,26.0
15,1,1,10,0.9525
5,2,1,5,2.2225
15,1,3,25,4.0
15,1,2,18,1.27
10,1,3,8,8.0
5,2,2,13,2.2225
15,1,1,9,0.9525
10,1,6,19,24.0
5,1,1,6,0.9525
15,1,3,12,4.0
5,1,2,15,1.905
15,1,2,9,2.0
15,1,2,8,1.0
15,1,3,12,4.0
15,1,1,5,1.905
15,1,3,19,9.0
5,2,1,7,1.5875
15,1,2,10,1.0
15,1,2,11,1.0
15,1,3,13,9.0
15,1,3,10,4.0
5,1,6,19,25.0
15,1,1,26,1.27
10,1,3,23,9.0
5,1,1,5,0.9525
15,1,1,13,1.27
15,1,2,11,1.0
15,1,1,10,0.9525
15,1,3,14,9.0
15,1,2,12,2.0
15,1,3,14,9.0
5,1,4,14,13.0
5,1,2,18,1.905
15,1,1,6,1.27
15,1,1,6,0.9525
10,1,1,13,1.5875
10,1,3,10,9.0
10,2,4,12,19.0
15,1,1,8,0.9525
15,1,2,18,1.0
15,1,2,8,1.0
15,1,2,6,1.0
15,1,4,11,13.0
10,1,3,25,9.0
15,1,3,10,12.0
15,1,1,7,0.9525
5,2,1,5,2.2225
5,2,1,5,1.27
10,1,3,12,4.0
15,1,1,5,1.27
15,1,4,10,20.0
15,1,3,8,4.0
15,1,3,13,7.0
15,1,2,7,2.0
15,1,1,18,1.27
15,1,2,8,1.0
15,1,1,5,0.9525
15,1,1,7,1.5875
10,1,3,19,9.0
15,1,2,8,1.0
15,1,2,6,1.0
5,1,1,7,1.27
15,1,2,8,3.0
15,1,1,9,0.9525
5,2,1,9,1.27
15,1,2,8,1.0
15,1,1,8,1.27
15,1,3,16,4.0
15,1,2,10,2.0
15,1,1,14,0.9525
15,1,3,16,8.0
15,1,1,7,0.9525
15,1,1,6,0.9525
15,1,3,8,4.0
5,2,3,8,9.0
15,1,1,5,0.9525
15,1,1,7,0.9525
15,1,3,13,7.0
15,1,2,17,1.0
15,1,1,10,0.9525
5,2,2,7,2.54
5,1,1,11,1.5875
15,1,3,10,4.0
15,1,2,9,1.0
15,1,1,7,0.9525
15,1,3,8,4.0
5,1,1,9,0.9525
5,1,1,10,1.5875
5,2,2,13,2.8575
15,1,2,15,6.0
5,2,1,7,0.9525
5,2,2,17,2.54
15,1,3,13,6.0
15,1,3,12,4.0
5,2,3,14,3.81
5,2,1,9,1.27
15,1,3,8,9.0
15,1,3,14,8.0
15,1,1,8,0.9525
5,2,1,5,1.27
5,2,2,12,1.905
15,1,3,10,4.0
15,1,2,12,2.0
5,1,3,15,9.0
10,1,3,19,4.0
10,1,4,21,13.0
15,1,1,13,0.9525
15,1,1,21,0.9525
15,1,2,6,1.0
10,1,4,14,13.0
15,1,2,12,3.0
15,1,1,22,0.9525
15,1,2,6,1.0
15,1,2,8,1.0
15,1,2,9,1.0
15,1,1,7,1.5875
15,1,1,20,0.9525
15,1,1,9,0.9525
15,1,2,10,2.0
10,1,3,10,9.0
15,1,3,13,8.0
15,1,3,10,4.0
15,1,1,13,0.9525
15,1,2,7,1.0
15,1,1,6,1.27
10,1,1,9,1.27
15,1,3,19,7.0
15,1,1,16,0.9525
15,1,2,6,1.0
15,1,3,9,9.0
15,1,2,8,1.0
15,1,3,9,4.0
15,1,3,8,7.0
5,1,3,8,16.0
15,1,3,19,8.0
10,2,1,9,1.27
15,1,3,18,9.0
15,1,2,11,2.0
10,1,2,8,2.0
15,1,2,11,1.0
5,1,4,11,13.0
15,1,3,10,10.0
15,1,4,11,13.0
15,1,1,11,0.9525
5,1,1,5,0.9525
15,1,2,6,1.0
5,2,1,5,1.5875
15,1,3,10,9.0
5,2,4,10,26.0
15,1,2,23,1.0
15,1,3,10,9.0
5,1,1,11,0.9525
5,2,4,10,26.0
15,1,3,12,7.0
5,1,1,16,1.5875
15,1,1,5,0.9525
15,1,1,27,0.9525
15,1,3,10,9.0
5,2,2,9,1.905
15,1,1,6,1.27
15,1,4,16,13.0
10,1,2,14,2.54
5,1,1,6,1.5875
15,1,3,9,7.0
15,1,2,10,1.0
15,1,1,8,1.27
5,2,3,10,9.0
10,1,1,9,1.27
15,1,3,14,8.0
15,1,1,6,0.9525
15,1,1,22,0.9525
10,1,3,14,9.0
15,1,2,6,1.0
15,1,3,12,4.0
5,2,1,9,1.27
5,1,1,8,1.27
5,1,1,11,0.9525
10,2,1,14,1.5875
15,1,2,7,1.0
15,1,4,10,13.0
5,2,1,11,1.5875
5,1,4,19,18.0
15,1,2,11,1.0
10,1,1,9,1.5875
15,1,3,12,9.0
15,1,2,6,6.0
15,1,2,11,1.0
15,1,1,11,0.9525
5,2,1,9,1.905
15,1,3,24,4.0
15,1,3,9,8.0
15,1,1,6,2.8575
5,2,2,9,1.27
15,1,3,8,10.0
15,1,1,14,0.9525
5,1,3,18,10.0
5,1,2,8,3.0
15,1,4,12,18.0
15,1,1,7,0.9525
15,1,2,12,1.0
5,1,3,10,4.0
15,1,1,7,1.27
15,1,2,6,2.0
15,1,3,13,9.0
15,1,1,13,0.9525
15,1,1,7,0.9525
5,2,1,6,1.905
15,1,3,9,7.0
5,2,1,5,1.5875
15,1,1,6,1.27
15,1,1,5,1.27
5,1,4,13,21.0
5,1,1,10,1.5875
15,1,2,6,1.0
15,1,2,15,2.0
15,1,3,18,7.0
15,1,2,7,1.0
15,1,2,9,1.0
15,1,1,5,1.905
15,1,3,19,4.0
15,1,1,9,0.9525
10,1,1,16,1.27
15,1,2,17,2.0
15,1,3,12,4.0
15,1,2,8,1.0
15,1,2,7,6.0
5,1,3,8,10.0
5,1,4,11,13.0
5,2,4,10,21.0
5,1,4,10,13.0
15,1,3,8,4.0
10,1,1,16,1.27
5,2,2,10,3.175
10,1,3,17,8.0
5,2,2,8,2.2225
5,1,4,12,21.0
15,1,2,8,1.0
15,1,3,17,8.0
15,1,2,6,1.0
15,1,3,12,7.0
15,1,1,6,0.9525
10,1,3,9,13.0
15,1,2,6,1.0
15,1,1,10,0.9525
15,1,3,14,8.0
15,1,1,7,1.27
15,1,1,8,0.9525
5,2,4,27,2.8575
15,1,2,14,2.0
15,1,2,12,2.0
15,1,1,10,0.9525
15,1,2,9,1.0
15,1,2,9,2.0
15,1,3,8,9.0
15,1,3,14,4.0
15,1,3,17,8.0
15,1,2,8,1.0
15,1,1,9,0.9525
15,1,2,6,1.0
15,1,1,10,1.27
15,1,3,8,10.0
15,1,3,25,4.0
5,1,4,15,21.0
10,1,4,16,26.0
15,1,2,8,2.0
5,2,1,14,0.9525
15,1,3,8,7.0
5,2,2,8,2.54
15,1,4,10,13.0
10,1,2,12,2.0
5,2,2,7,2.54
15,1,2,9,2.0
15,1,3,10,4.0
10,1,4,12,19.0
15,1,2,8,1.0
15,1,1,11,0.9525
15,1,3,11,4.0
5,2,3,19,2.8575
15,1,2,23,2.0
15,1,1,9,1.27
5,2,1,5,1.5875
15,1,3,19,4.0
15,1,1,28,1.27
15,1,3,13,12.0
15,1,3,10,4.0
15,1,3,9,4.0
15,1,3,12,4.0
15,1,2,8,1.0
15,1,2,7,1.0
10,2,1,7,1.5875
5,2,1,9,0.9525
15,1,3,10,7.0
10,2,4,26,19.0
15,1,2,16,1.0
15,1,1,9,0.9525
15,1,2,14,2.0
15,1,2,13,2.0
15,1,3,11,8.0
5,1,3,21,7.0
15,1,2,9,2.0
15,1,2,6,2.0
15,1,2,7,1.0
5,2,1,5,2.2225
5,2,4,15,13.0
15,1,3,9,4.0
15,1,1,21,0.9525
15,1,3,10,4.0
5,2,1,5,2.2225
15,1,2,7,1.0
10,1,4,10,13.0
5,1,1,7,1.27
15,1,3,12,8.0
15,1,3,19,4.0
5,2,1,9,1.5875
10,1,4,15,20.0
5,2,1,6,1.27
10,2,2,18,2.2225
15,1,2,6,1.0
10,1,4,15,16.0
15,1,2,8,1.0
10,1,4,14,13.0
15,1,2,10,1.0
5,1,4,18,18.0
5,2,1,11,1.5875
5,1,4,18,18.0
15,1,2,6,1.0
5,1,4,27,13.0
15,1,1,22,0.9525
5,2,1,6,1.905
15,1,3,10,4.0
5,2,1,5,1.5875
5,2,1,5,2.2225
15,1,3,9,10.0
15,1,3,18,7.0
15,1,3,8,9.0
15,1,3,9,4.0
5,2,2,7,2.54
15,1,2,12,6.0
15,1,1,9,0.9525
10,1,4,12,13.0
15,1,3,12,4.0
15,1,2,12,1.0
15,1,3,12,4.0
15,1,3,11,12.0
15,1,1,6,1.27
15,1,3,12,4.0
10,1,1,10,1.905
15,1,3,9,4.0
10,2,1,5,1.5875
5,2,1,8,1.5875
15,1,2,8,2.0
15,1,3,23,4.0
15,1,3,9,4.0
15,1,1,10,0.9525
5,2,1,10,1.5875
15,1,3,14,4.0
15,1,2,7,2.0
15,1,1,8,1.27
5,2,4,16,18.0
15,1,2,15,1.0
10,1,3,8,9.0
15,1,3,15,4.0
5,1,4,19,18.0
15,1,2,21,1.0
15,1,2,10,2.0
15,1,2,23,1.0
10,1,4,11,13.0
10,1,3,8,9.0
5,2,4,11,21.0
15,1,1,6,0.9525
5,2,1,5,1.27
5,2,1,5,1.5875
15,1,3,8,4.0
15,1,2,13,1.0
5,1,1,10,1.27
15,1,2,8,3.0
5,1,1,14,0.9525
15,1,3,16,9.0
15,1,2,8,1.0
5,2,1,5,1.905
15,1,2,6,1.0
5,1,1,21,1.5875
15,1,3,9,8.0
5,1,1,5,1.27
15,1,2,22,1.0
15,1,3,12,9.0
15,1,3,14,8.0
15,1,1,5,1.905
15,1,1,6,1.27
10,2,1,11,2.2225
10,1,1,7,1.905
15,1,3,8,9.0
15,1,2,23,1.0
5,2,1,6,2.2225
15,1,2,17,1.0
15,1,3,13,8.0
15,1,2,11,1.0
15,1,3,14,9.0
10,1,1,18,1.5875
15,1,2,7,1.0
5,2,1,5,1.905
15,1,2,8,1.0
5,2,1,5,1.27
15,1,2,6,1.0
15,1,3,10,8.0
5,1,1,16,1.5875
5,1,1,9,0.9525
10,1,1,11,1.27
15,1,3,9,12.0
10,1,3,12,8.0
15,1,2,11,1.0
15,1,2,7,3.0
5,1,2,10,6.0
15,1,3,11,9.0
15,1,2,11,1.0
15,1,1,6,0.9525
10,1,2,12,2.0
5,2,1,5,1.5875
15,1,1,13,0.9525
15,1,4,15,11.0
10,1,4,12,21.0
10,1,3,17,9.0
15,1,3,8,9.0
10,2,2,11,1.905
5,1,1,5,0.9525
15,1,1,7,0.9525
15,1,2,11,1.0
10,2,1,9,1.5875
15,1,2,7,1.0
15,1,1,20,0.9525
15,1,3,8,4.0
15,1,3,24,4.0
15,1,3,9,7.0
15,1,3,10,8.0
15,1,4,12,18.0
15,1,3,17,8.0
15,1,2,23,3.0
5,2,1,7,2.2225
15,1,2,10,1.0
5,2,2,12,2.54
15,1,1,13,1.5875
5,2,1,9,1.5875
5,1,4,11,13.0
15,1,1,5,1.5875
15,1,3,12,4.0
15,1,3,14,9.0
15,1,3,18,7.0
10,1,1,13,1.27
5,2,1,5,1.27
15,1,3,8,12.0
15,1,2,7,1.0
15,1,3,10,8.0
15,1,4,15,13.0
15,1,4,14,13.0
15,1,1,14,0.9525
15,1,4,23,13.0
15,1,2,10,1.0
10,1,2,10,2.2225
15,1,2,14,1.0
5,2,2,8,2.8575
10,1,1,12,2.2225
15,1,1,10,0.9525
10,1,1,7,0.9525
15,1,3,12,4.0
15,1,1,9,0.9525
15,1,1,9,1.27
15,1,3,12,7.0
15,1,1,6,0.9525
15,1,1,7,0.9525
5,1,4,21,13.0
15,1,2,9,1.0
15,1,2,8,1.0
15,1,2,17,6.0
5,2,1,5,1.27
15,1,3,8,9.0
5,2,1,5,1.905
10,1,1,6,1.27
15,1,2,14,6.0
15,1,2,17,2.0
15,1,2,6,1.0
15,1,2,7,1.0
15,1,2,7,1.0
15,1,2,11,1.0
15,1,2,6,1.0
15,1,3,9,10.0
5,2,2,7,3.175
5,2,1,8,1.905
15,1,3,8,7.0
15,1,3,9,10.0
15,1,1,7,0.9525
15,1,2,8,3.0
10,1,4,12,13.0
15,1,3,8,4.0
15,1,3,14,4.0
15,1,3,12,8.0
15,1,2,10,1.0
15,1,2,10,1.0
15,1,2,6,1.0
15,1,2,7,1.0
15,1,2,8,1.0
10,1,3,10,9.0
5,2,2,13,2.8575
15,1,1,9,0.9525
15,1,2,6,1.0
15,1,2,12,1.0
15,1,2,7,1.0
5,1,6,19,25.0
15,1,1,7,1.5875
15,1,1,6,0.9525
15,1,3,14,9.0
5,2,1,7,1.5875
15,1,2,10,3.0
15,1,2,10,1.0
15,1,1,9,0.9525
15,1,3,15,4.0
15,1,1,6,0.9525
15,1,2,23,2.0
5,1,3,19,7.0
15,1,1,20,0.9525
15,1,3,9,4.0
5,2,4,11,13.0
15,1,1,20,0.9525
15,1,3,16,9.0
15,1,2,8,1.0
15,1,3,13,4.0
15,1,1,9,0.9525
15,1,2,6,2.0
15,1,2,22,1.0
15,1,2,12,1.0
15,1,3,8,8.0
5,1,2,11,2.54
15,1,1,10,0.9525
15,1,3,9,8.0
5,2,1,7,2.2225
10,1,3,25,9.0
5,2,2,18,2.2225
15,1,2,16,2.2225
15,1,2,12,1.0
15,1,2,8,1.0
15,1,3,21,4.0
15,1,2,7,1.0
5,2,3,16,3.4925
15,1,3,10,4.0
15,1,1,7,0.9525
15,1,1,14,0.9525
5,1,3,9,7.0
15,1,3,13,4.0
15,1,4,11,18.0
15,1,3,8,9.0
15,1,3,8,9.0
15,1,1,6,0.9525
15,1,2,7,1.0
10,1,4,14,26.0
15,1,1,21,1.27
10,1,3,11,9.0
15,1,2,6,6.0
5,1,1,10,1.27
15,1,3,19,7.0
5,1,4,14,18.0
15,1,2,6,1.0
10,1,3,19,7.0
15,1,3,8,9.0
15,1,3,10,4.0
5,1,1,11,1.5875
15,1,3,10,9.0
15,1,3,12,9.0
5,1,1,5,1.5875
15,1,1,10,0.9525
15,1,4,16,18.0
10,1,4,21,13.0
5,2,1,7,1.27
15,1,1,6,0.9525
5,1,1,11,1.27
15,1,2,8,1.0
5,1,1,10,1.5875
15,1,2,10,2.0
15,1,1,5,0.9525
15,1,1,11,1.27
15,1,2,12,2.0
10,1,1,7,1.27
10,1,4,12,13.0
10,1,3,10,8.0
15,1,2,6,1.0
15,1,2,17,6.0
5,2,1,5,1.27
10,1,1,20,1.27
15,1,1,5,2.54
10,2,1,5,1.5875
15,1,3,9,10.0
10,1,1,10,1.5875
10,2,2,15,1.905
10,1,4,12,13.0
15,1,1,13,1.27
15,1,4,10,13.0
5,2,1,7,1.905
15,1,3,10,9.0
5,2,2,11,2.8575
15,1,1,11,0.9525
15,1,2,10,1.0
15,1,3,8,7.0
15,1,1,22,0.9525
15,1,2,6,1.0
10,1,3,24,4.0
15,1,1,5,0.9525
15,1,2,9,1.0
15,1,1,5,2.2225
15,1,3,9,9.0
5,2,3,11,16.0
15,1,3,18,4.0
15,1,2,6,2.0
15,1,3,9,4.0
5,2,1,5,1.27
15,1,2,12,1.0
5,2,3,13,16.0
15,1,4,10,13.0
5,2,4,12,21.0
15,1,3,9,7.0
15,1,3,9,4.0
15,1,3,9,4.0
15,1,3,10,4.0
15,1,2,7,6.0
5,2,3,23,2.54
15,1,3,12,4.0
15,1,1,6,0.9525
15,1,3,13,9.0
15,1,1,13,0.9525
5,1,1,5,0.9525
5,1,1,8,0.9525
5,2,2,13,1.905
5,2,3,17,2.8575
15,1,2,9,1.0
10,1,4,14,13.0
15,1,2,10,1.0
15,1,2,12,1.0
15,1,2,9,2.0
15,1,2,7,1.0
15,1,2,7,1.0
15,1,3,8,4.0
10,2,2,22,2.2225
15,1,1,21,1.27
15,1,3,11,9.0
15,1,2,12,2.0
10,2,2,32,1.905
5,2,4,14,18.0
10,1,2,17,2.0
15,1,2,6,1.0
15,1,1,12,0.9525
15,1,2,10,2.0
15,1,3,12,4.0
15,1,2,6,1.0
15,1,1,7,1.5875
15,1,2,9,2.0
10,1,3,10,4.0
15,1,3,9,4.0
15,1,3,12,4.0
15,1,3,9,4.0
15,1,3,9,9.0
15,1,3,12,7.0
15,1,2,23,1.0
5,1,3,12,9.0
10,1,1,7,1.27
5,2,2,17,1.905
15,1,3,8,12.0
15,1,2,7,1.0
15,1,2,12,1.0
15,1,1,18,1.27
15,1,3,13,9.0
15,1,2,10,2.0
15,1,1,5,0.9525
5,2,1,9,1.5875
10,2,2,24,1.5875
15,1,2,8,1.0
10,1,1,20,1.27
10,1,1,8,1.27
5,2,1,9,1.5875
15,1,3,9,7.0
5,1,4,12,13.0
15,1,1,7,1.5875
15,1,1,12,0.9525
15,1,3,10,4.0
15,1,1,5,0.9525
15,1,2,7,1.0
5,2,2,13,2.2225
15,1,3,13,4.0
15,1,2,7,2.0
5,1,4,11,20.0
15,1,2,12,1.5875
5,1,1,9,1.5875
5,1,3,9,7.0
5,2,6,16,24.0
15,1,2,6,1.0
5,1,1,7,1.27
10,1,2,20,1.5875
15,1,2,10,1.0
15,1,1,10,0.9525
15,1,1,6,0.9525
10,1,3,9,8.0
10,1,1,13,1.27
15,1,1,9,0.9525
15,1,2,8,1.0
5,1,2,12,1.905
15,1,2,9,1.0
15,1,2,8,2.0
5,1,3,13,4.0
15,1,1,6,0.9525
15,1,3,12,4.0
15,1,3,13,4.0
10,2,1,6,1.5875
15,1,2,11,1.0
10,1,1,12,1.5875
5,1,4,16,18.0
5,1,3,11,9.0
15,1,1,16,1.27
10,1,3,17,4.0
10,1,4,11,19.0
15,1,2,11,1.0
15,1,3,14,8.0
15,1,1,8,1.5875
15,1,1,20,0.9525
10,2,3,14,16.0
15,1,2,16,1.0
5,2,3,8,4.0
10,1,3,10,16.0
5,2,2,10,2.8575
5,2,1,7,1.905
15,1,1,6,1.27
15,1,2,7,1.0
15,1,2,22,1.0
5,1,4,21,20.0
15,1,2,18,2.0
15,1,1,7,0.9525
5,2,4,10,26.0
15,1,3,10,8.0
10,1,3,8,4.0
15,1,3,13,4.0
15,1,3,8,10.0
15,1,2,12,1.0
5,2,3,14,9.0
5,1,6,20,24.0
5,1,1,10,0.9525
15,1,3,8,9.0
5,2,1,7,1.905
15,1,2,12,1.0
5,1,1,6,1.5875
15,1,4,10,13.0
15,1,2,7,1.0
15,1,2,9,2.0
5,1,1,8,1.27
15,1,3,9,4.0
15,1,2,8,1.0
15,1,2,12,1.0
15,1,1,9,0.9525
15,1,3,13,4.0
5,1,1,8,0.9525
15,1,3,13,7.0
15,1,3,17,9.0
15,1,1,21,0.9525
5,1,4,18,20.0
15,1,2,10,2.0
15,1,3,12,8.0
15,1,2,13,1.0
5,2,1,5,1.27
15,1,1,7,0.9525
10,1,3,9,4.0
5,2,1,11,1.5875
15,1,1,10,0.9525
5,1,3,9,9.0
5,1,4,17,26.0
5,2,4,10,20.0
5,2,1,7,2.2225
15,1,2,12,1.0
15,1,1,11,0.9525
15,1,3,10,8.0
10,1,1,16,1.905
10,1,3,18,12.0
15,1,1,9,0.9525
15,1,3,10,9.0
15,1,1,11,1.27
15,1,1,11,0.9525
15,1,4,14,13.0
15,1,2,7,1.0
15,1,3,10,9.0
5,2,1,6,1.905
5,1,4,14,19.0
5,2,1,6,1.27
15,1,1,9,0.9525
10,2,1,6,1.5875
15,1,3,8,9.0
15,1,4,10,13.0
15,1,1,5,0.9525
15,1,2,7,2.0
15,1,1,7,0.9525
15,1,2,7,1.0
10,1,1,9,1.27
15,1,2,10,1.0
5,2,1,9,1.27
5,1,3,9,8.0
15,1,2,12,1.0
15,1,1,14,0.9525
10,1,1,12,1.27
10,1,1,10,1.5875
15,1,3,9,7.0
15,1,3,15,8.0
15,1,1,10,0.9525
15,1,3,19,4.0
15,1,3,8,8.0
15,1,2,7,1.0
5,2,4,10,26.0
15,1,1,5,0.9525
5,2,1,6,1.905
15,1,3,10,9.0
5,2,1,6,1.905
15,1,4,17,13.0
15,1,2,9,1.0
10,1,3,8,8.0
15,1,3,9,9.0
15,1,2,10,1.0
10,2,1,6,1.5875
15,1,1,8,0.9525
15,1,3,12,7.0
5,1,3,9,12.0
15,1,3,14,4.0
15,1,1,9,0.9525
10,1,1,11,1.5875
10,1,3,17,9.0
15,1,3,12,4.0
15,1,1,6,1.27
15,1,3,11,9.0
5,1,1,10,0.9525
15,1,3,9,9.0
15,1,3,8,8.0
5,1,3,19,13.0
15,1,4,11,18.0
5,2,2,13,1.905
15,1,2,10,1.0
5,1,4,14,21.0
10,1,3,14,9.0
15,1,2,8,1.0
15,1,3,14,7.0
15,1,3,8,4.0
5,1,1,7,0.9525
15,1,2,8,1.0
15,1,3,19,7.0
15,1,1,10,0.9525
15,1,3,10,4.0
15,1,2,17,1.0
15,1,2,8,1.0
5,1,3,14,7.0
15,1,2,6,1.0
5,2,1,6,2.54
15,1,2,8,1.0
15,1,3,14,4.0
15,1,3,12,4.0
10,1,3,12,8.0
15,1,3,13,12.0
15,1,2,7,1.0
15,1,1,6,1.27
5,1,4,10,20.0
5,2,2,7,2.8575
15,1,3,14,4.0
5,1,4,13,21.0
15,1,2,12,1.0
5,1,4,10,26.0
15,1,2,7,2.0
10,1,3,12,9.0
15,1,2,22,1.905
15,1,2,7,1.0
15,1,1,7,1.27
5,2,1,6,1.5875
5,2,1,7,1.5875
5,2,1,7,1.27
15,1,2,6,2.0
15,1,2,6,1.0
5,1,1,5,1.27
10,1,4,15,13.0
15,1,1,7,0.9525
5,1,3,8,12.0
5,1,1,6,0.9525
15,1,1,7,0.9525
15,1,3,19,4.0
5,2,3,20,2.54
5,2,2,9,2.2225
5,2,1,8,1.905
15,1,2,8,1.0
5,1,3,10,9.0
15,1,1,16,0.9525
15,1,2,8,1.0
15,1,1,10,1.27
10,1,1,9,1.27
5,2,1,7,1.5875
15,1,1,9,0.9525
15,1,3,12,7.0
15,1,2,23,2.0
5,2,1,6,2.2225
15,1,1,7,0.9525
5,2,1,10,1.27
15,1,3,8,7.0
5,2,2,13,2.54
5,2,1,8,1.905
15,1,1,10,0.9525
5,2,2,15,1.905
15,1,2,12,1.0
15,1,1,6,1.5875
10,1,1,16,1.5875
15,1,2,11,1.0
15,1,1,21,0.9525
15,1,3,12,7.0
15,1,2,8,1.0
15,1,2,11,1.0
15,1,2,17,2.0
15,1,2,10,1.0
10,1,3,8,4.0
5,2,6,14,23.0
10,1,4,12,26.0
15,1,1,10,0.9525
5,1,2,9,1.0
10,1,1,10,1.5875
5,2,4,13,26.0
10,1,1,13,1.27
5,1,1,5,1.27
15,1,2,8,1.0
15,1,3,13,8.0
15,1,3,10,9.0
15,1,3,8,9.0
15,1,2,14,2.0
15,1,3,14,7.0
10,1,3,25,4.0
15,1,2,11,1.0
15,1,1,5,1.905
15,1,3,8,7.0
15,1,1,5,0.9525
15,1,1,5,0.9525
5,1,4,16,20.0
15,1,2,11,1.0
15,1,1,7,1.905
10,1,3,10,8.0
15,1,2,10,2.0
15,1,2,15,1.0
15,1,3,8,4.0
10,1,4,12,13.0
15,1,3,23,7.0
5,1,2,15,1.905
15,1,1,5,1.27
15,1,2,10,1.0
15,1,2,6,1.0
5,2,1,6,2.2225
15,1,4,21,13.0
15,1,1,22,0.9525
15,1,2,8,1.0
15,1,1,9,0.9525
5,2,1,5,2.2225
5,2,4,10,20.0
15,1,1,6,0.9525
15,1,2,9,1.0
10,2,2,17,1.5875
15,1,1,20,0.9525
15,1,3,17,4.0
10,1,4,23,18.0
15,1,2,7,2.0
15,1,3,11,7.0
15,1,2,11,1.0
15,1,2,6,2.0
15,1,1,14,0.9525
15,1,3,12,7.0
10,1,1,9,1.905
15,1,2,8,2.0
15,1,3,12,12.0
15,1,3,8,9.0
15,1,2,6,1.0
5,1,3,11,9.0
5,1,3,9,7.0
15,1,2,22,1.0
15,1,2,10,1.0
15,1,1,9,1.27
15,1,1,7,0.9525
5,2,4,13,13.0
15,1,1,7,1.5875
15,1,2,14,1.0
10,1,1,10,1.27
15,1,2,12,1.0
15,1,2,8,1.0
10,1,1,11,1.27
15,1,1,5,1.27
10,1,1,12,1.27
5,2,4,16,18.0
15,1,1,11,0.9525
15,1,1,10,0.9525
15,1,3,19,4.0
15,1,1,6,0.9525
5,2,2,13,2.2225
15,1,3,9,7.0
15,1,2,10,2.0
15,1,2,8,1.0
5,2,1,5,1.5875
5,1,4,15,21.0
5,1,4,19,13.0
5,1,3,13,12.0
5,1,4,21,13.0
15,1,1,6,0.9525
15,1,2,11,2.0
10,1,1,8,1.27
15,1,2,7,6.0
15,1,1,5,0.9525
15,1,3,16,9.0
5,1,2,13,1.905
5,1,1,7,1.905
15,1,3,12,4.0
15,1,1,6,2.8575
15,1,2,12,2.0
15,1,1,7,0.9525
15,1,3,12,7.0
15,1,3,13,2.0
5,2,1,8,2.8575
15,1,3,13,4.0
15,1,2,12,1.0
15,1,2,7,1.0
15,1,2,10,1.0
5,2,2,12,3.175
5,2,2,8,2.2225
5,2,6,16,25.0
15,1,1,7,0.9525
15,1,1,11,0.9525
15,1,3,13,4.0
15,1,2,11,1.0
10,1,1,8,0.9525
5,2,1,5,1.905
15,1,3,14,4.0
10,1,3,11,9.0
5,1,1,5,1.5875
15,1,1,11,0.9525
15,1,3,12,4.0
15,1,3,31,10.0
5,2,1,7,1.5875
10,1,1,7,1.27
5,1,1,11,1.905
15,1,4,14,13.0
15,1,1,8,0.9525
15,1,1,5,0.9525
5,1,2,18,1.905
5,2,4,12,13.0
15,1,1,8,0.9525
15,1,1,11,1.905
15,1,1,7,1.905
15,1,1,8,1.5875
15,1,2,8,2.0
15,1,2,6,2.0
15,1,2,7,1.0
15,1,3,18,8.0
5,2,2,12,1.905
5,1,1,16,1.27
15,1,2,6,1.0
10,1,1,10,1.5875
5,2,1,5,1.5875
5,1,3,12,12.0
15,1,1,6,0.9525
5,2,2,9,1.905
15,1,2,6,1.0
15,1,3,13,9.0
5,2,4,10,18.0
15,1,3,11,9.0
15,1,2,8,1.0
15,1,1,6,1.27
15,1,2,6,1.0
15,1,3,8,8.0
15,1,3,10,9.0
15,1,1,10,1.27
10,1,4,18,11.0
15,1,3,10,4.0
15,1,3,13,4.0
10,1,3,10,9.0
15,1,2,11,2.0
15,1,3,9,9.0
